year,sentiment,president,party
1921,-0.5,"Harding","Republikaner"
1922,-0.5,"Harding","Republikaner"
1923,0.08695652174,"Coolidge","Republikaner"
1924,0.08695652174,"Coolidge","Republikaner"
1925,0.08695652174,"Coolidge","Republikaner"
1926,0.08695652174,"Coolidge","Republikaner"
1927,0.08695652174,"Coolidge","Republikaner"
1928,0.08695652174,"Coolidge","Republikaner"
1929,-0.3015873016,"Hoover","Republikaner"
1930,-0.3015873016,"Hoover","Republikaner"
1931,-0.3015873016,"Hoover","Republikaner"
1932,-0.3015873016,"Hoover","Republikaner"
1933,0.02985074627,"Roosevelt","Demokrat"
1934,0.02985074627,"Roosevelt","Demokrat"
1935,0.02985074627,"Roosevelt","Demokrat"
1936,0.02985074627,"Roosevelt","Demokrat"
1937,0.02985074627,"Roosevelt","Demokrat"
1938,0.02985074627,"Roosevelt","Demokrat"
1939,0.02985074627,"Roosevelt","Demokrat"
1940,0.02985074627,"Roosevelt","Demokrat"
1941,0.02985074627,"Roosevelt","Demokrat"
1942,0.02985074627,"Roosevelt","Demokrat"
1943,0.02985074627,"Roosevelt","Demokrat"
1944,0.02985074627,"Roosevelt","Demokrat"
1945,0.1481481481,"Truman","Demokrat"
1946,0.2631578947,"Truman","Demokrat"
1947,0.1481481481,"Truman","Demokrat"
1948,0.4324324324,"Truman","Demokrat"
1949,0.5714285714,"Truman","Demokrat"
1950,-0.1714285714,"Truman","Demokrat"
1951,-0.1666666667,"Truman","Demokrat"
1952,0.2574850299,"Truman","Demokrat"
1953,0.55,"Eisenhower","Republikaner"
1954,0.2121212121,"Eisenhower","Republikaner"
1955,0.3823529412,"Eisenhower","Republikaner"
1956,0.125,"Eisenhower","Republikaner"
1957,0.2432432432,"Eisenhower","Republikaner"
1958,0.125,"Eisenhower","Republikaner"
1959,0.4782608696,"Eisenhower","Republikaner"
1960,0.2272727273,"Eisenhower","Republikaner"
1961,0.3333333333,"Kennedy","Demokrat"
1962,0.6,"Kennedy","Demokrat"
1964,0.4516129032,"LBJ","Demokrat"
1965,0.3902439024,"LBJ","Demokrat"
1966,0.4782608696,"LBJ","Demokrat"
1967,0.5849056604,"LBJ","Demokrat"
1968,0.4166666667,"LBJ","Demokrat"
1969,0.7058823529,"Nixon","Republikaner"
1970,0.7115384615,"Nixon","Republikaner"
1971,0.6296296296,"Nixon","Republikaner"
1972,0.6,"Nixon","Republikaner"
1973,0.2941176471,"Nixon","Republikaner"
1974,0.08,"Ford","Republikaner"
1975,0.425,"Ford","Republikaner"
1976,0.474137931,"Ford","Republikaner"
1977,-0.08547008547,"Carter","Demokrat"
1978,0.4,"Carter","Demokrat"
1979,0.609375,"Carter","Demokrat"
1980,0.4923076923,"Carter","Demokrat"
1981,0.6111111111,"Reagan","Republikaner"
1982,0.7260273973,"Reagan","Republikaner"
1983,0.734375,"Reagan","Republikaner"
1984,0.7986111111,"Reagan","Republikaner"
1985,0.375,"Reagan","Republikaner"
1986,0.3461538462,"Reagan","Republikaner"
1987,0.5322580645,"Reagan","Republikaner"
1988,0.5633802817,"Reagan","Republikaner"
1989,0.585106383,"Bush sr.","Republikaner"
1990,0.4827586207,"Bush sr.","Republikaner"
1991,0.3866666667,"Bush sr.","Republikaner"
1992,0.3157894737,"Bush sr.","Republikaner"
1993,0.01226993865,"Clinton","Demokrat"
1994,0.115942029,"Clinton","Demokrat"
1995,0.0,"Clinton","Demokrat"
1996,0.3650190114,"Clinton","Demokrat"
1997,0.3938223938,"Clinton","Demokrat"
1998,0.4159292035,"Clinton","Demokrat"
1999,0.4898989899,"Clinton","Demokrat"
2000,0.6013513514,"Clinton","Demokrat"
2001,0.3971631206,"Bush jr.","Republikaner"
2002,-0.1416666667,"Bush jr.","Republikaner"
2003,0.3333333333,"Bush jr.","Republikaner"
2004,0.2407407407,"Bush jr.","Republikaner"
2005,-0.2610619469,"Bush jr.","Republikaner"
2006,-0.3085106383,"Bush jr.","Republikaner"
2007,-0.07956989247,"Bush jr.","Republikaner"
2008,0.5607476636,"Bush jr.","Republikaner"
2009,0.5032258065,"Obama","Demokrat"
2010,0.3360995851,"Obama","Demokrat"
2011,0.4661354582,"Obama","Demokrat"
2012,0.5477707006,"Obama","Demokrat"
2013,0.3856041131,"Obama","Demokrat"
2014,0.2915766739,"Obama","Demokrat"
2015,0.4454277286,"Obama","Demokrat"
2016,0.6063829787,"Obama","Demokrat"
2017,-0.3066037736,"Trump","Republikaner"
2018,-0.4077134986,"Trump","Republikaner"
2019,-0.2413554633,"Trump","Republikaner"
2020,-0.3043478261,"Trump","Republikaner"
